timestamp,post
6mo,"In November, we hosted 3,000 promotes in Dallas to celebrate their latest career achievements. Attendees kicked off a year-long learning journey with opportunities to build connections, focus on professional growth and develop future-focused skills.

Come along as Richard takes us behind the scenes for a week in his life at Horizons Live. âœ¨"
9mo,"2 in 5 employees say they are likely to quit their jobs in the next 12 months for better pay and career opportunities according to the latest EY Work Reimagined Survey. 

We asked 17,350 employees across 1,595 businesses what is driving top talent away?

Read the full report to find outğŸ‘‡"
9mo,"The convenience of electronic health records, patient portals and virtual visits also come with side effects, including an increased exposure to cyber threats.

Here's how EY helped one medical provider navigate those risks:"
9mo,"Public listings are on the up this quarter.

ICYMI, hereâ€™s everything you need to know about companies going public in Q3. ğŸ‘‡"
6mo,"From election day to the first 100 days and beyond, EY is here to help businesses navigate the geopolitical and economic landscape with confidence. 
https://go.ey.com/4fXqdt2"
6mo,"Boomers, Gen X, Millennials, Gen Z and Gen Alpha â€“ the workplace just got complicated. Five generations all working together for the first time ever.

Business leaders need to develop a multigenerational strategy so they can shape the future of the workforce with confidence.

Diversity, upskilling and AI will all have a part to play.

Expect this to be a significant talking point for leaders at the WEF Annual Meeting in Davos this year.

Hereâ€™s what you need to know ğŸ‘‡

Our generations report in full is here:"
1mo,"One in four leaders in regulated industries are already adopting agentic AI according to the latest survey by EY Studio+ and MIT Technology Review Insights.

AI adoption isn't being slowed by regulation but accelerated by compliance expertise.

With governance already hardwired into operations, companies in financial services, pharma and healthcare are building AI agents fast and responsibly.

Learn how regulated industries are accelerating AI adoption with confidence:"
6mo,"For 40 years, EY has recognized, supported and championed visionary entrepreneurs shaping our future. Become part of this vibrant community of ambitious leaders!

Learn more and apply for the Entrepreneur Of The YearÂ® program by March 7."
9mo,"AI needs energy, Brazil has it. The US electionâ€™s effect on businesses. And, what's the first problem you'd tackle in a world where tech knows no bounds?

All in this weekâ€™s Must Reads..."
6mo,"Game Changers â¡ï¸ Legacy Makers

Meet Team EY â›³ï¸
Shaping the future of sports with confidence."
9mo,"Today we announce US$51.2b combined global revenues for the financial year 2024.

Read our Value Realized annual report in full â¬‡ï¸"
9mo,"AI has supercharged the scale and complexity of threats â€” and anxiety about cybersecurity.

More from our latest research:"
6mo,How will private equity enable tech firms to be innovators and disruptors in 2025? More from Tim Tracy and Hyong Kim. https://go.ey.com/40gaS0T
9mo,Are your meetings accessible for everyone? Check out these 3 tips for more inclusive meetings. ğŸ‘‡
9mo,"As the 2024 elections near, it's crucial for business leaders to understand policy differences in areas like trade, technology, and taxes. We break down how those differences can influence future corporate outlook. https://lnkd.in/gZvvemqy"
9mo,"GenAIâ€™s impact on the global economy. What does a financial controller do? And how tax is on the brink of a revolution. 

All in this weekâ€™s Must Reads..."
9mo,"Together with our Latinx Professional Network, weâ€™re proud to champion the dynamic Hispanic and Latinx communities this 
hashtag
#HispanicHertiageMonth and all year long."
6mo,"How is AI shaping the future with confidence?

https://go.ey.com/4gQBv3I"
6mo,What are the sectors to watch for M&A in 2025? Mitch Berlin shares the latest. https://go.ey.com/4h19Zjx
6mo,"Will you shape the future or be shaped by it?
 
Business leaders are under increasing pressure to deliver rapid results and long-term growth while tackling some of the most complex challenges of our time.

The only way to predict the future is to create it.

That takes confidence. Confidence to ask the Better Questions and act on the answers.

Confidence to harness the forces of transformation. Together. Allin.

Watch - and tell us where you see the biggest transformation opportunities?"
9mo,"Itâ€™s hard to believe: female-founded companies in the UK only receive 2p for every Â£1 invested. 

The contribution of the UK's leading female-founded companies to the national economy could dwindle without a stronger support for the next wave of women entrepreneurs, according to a new EY report on female SuperScalers.

The EY SuperScalers report, shines a light on a new network of the women behind the 45 female-SuperScaled companies with revenue of more than Â£50m currently based in the UK. Among the 45 are, founder and CEO of beauty brand,, founder and CEO of,founder and Chair of recruitment specialistand, founder and ex-CEO of investment banking company, formerly finnCap Group.

ğŸ‘‰ Swipe to find out about the key factors that have contributed to the success of the female SuperScalers.

Thanks to our collaborators on this report:,and."
2mo,"What does it mean to add value? Adding value arises not just from solving a problem, but from solving the right problem. Heidi Grant and Shawn McCann explore four essential thinking skills that every leader should embrace."
10mo,"AI is everywhere. The future of retail. And five lessons from The Next Web.

All in this weekâ€™s Must Reads..."
10mo,"ğŸ—“ï¸ Months of preparation
âœ… Results tabulated
âœ‰ï¸ Winning envelopes sealed
âœ¨ A fantastic ceremony!

Risk Consulting Managertakes us behind the scenes from her time last month at the 76th EmmyÂ® Awards."
10mo,"We have set out a call to action for business and policymakers - and a blueprint for European competitiveness for the next five years.

The EY Vision for Europe will help tackle some of the biggest challenges facing the EU right now:

ğŸ’¡ A 4% drop in foreign direct investment.
ğŸŒ Nearly half of investors looking to move supply chains closer to home.
ğŸ’» Keeping pace with the growth of AI, which could boost Western Europeâ€™s GDP by 3.7% in the next 10 years.
ğŸ“ And as 84% of employers begin using Gen AI, ensuring the workforce has the skills to match.
ğŸŒ± Hitting sustainability goals when only half of organizations give investors the full picture of their ESG performance.

We outline 5 priority areas to help shape the future with confidence. Report in full ğŸ‘‡"
10mo,"Congratulations to last night's 
hashtag
#Emmy nominees and winners. We're honored to be a part of the 76th EmmyÂ® Awards, and to celebrate the best in television for over three decades."
7mo,"Happy holidays from everyone at EY.

hashtag
#ShapeTheFutureWithConfidence"
7mo,What ğŸ‘ a ğŸ‘ year ğŸ‘
7mo,"HÃ©lÃ¨ne Timpano, VP of Strategy and Corporate Development at Centerra Gold Inc. shares one piece of advice for other women building a career in metals and mining. 

Watch the full conversation. ğŸ‘‰"
10mo,"It's almost time! EY is proud to be part of the 76th EmmyÂ® Awards, honoring the best in television. We are looking forward to another spectacular show on Sunday, September 15. 

Before the curtain rises on this year's ceremony, let's take a look back at memorable moments from past
."
10mo,How EY worked with Eversource Energy to power up customer service. https://lnkd.in/eG5rbqBG
10mo,"ğŸ— $US139t - more than five times the annual GDP of the US - in sustainable infrastructure investment is required to move towards net-zero by 2050 and AI has the power to help the infrastructure sector deliver. 

Our new report with, shows that the sector can use AI to unlock hidden value and break down barriers between stakeholders, reduce costs and speed up delivery.

To do these they'll need to change the following:
ğŸ§  Mindset - Build an open and collaborative environment to encourage data sharing.
ğŸ’» Skillset - Train workers to integrate AI effectively.
ğŸ›  Toolset - Offer the right tools and frameworks on data collection and sharing.

Read more on the potential impact of AI in our new report below."
7mo,"Come along for a week in the life with 
hashtag
#EYAccessNetwork member and EY Entrepreneurial Winning Woman Jessica Johnson-Cope at the Strategic Growth Forum 2024. 

Learn more about how we're helping entrepreneurs realize their ambitions through counsel, access to capital and community."
7mo,"Hear from our Consulting leaders on where they are seeing companies get the most value from AI. 
hashtag
#TheAISummit"
11mo,"How blockchain is battling fake news. GenAI could revolutionize Indian healthcare. And everything European businesses need to know before 2025.

All in this weekâ€™s Must Reads..."
8mo,Developing a dynamic board of directors can be a springboard for success. Learn how leading entrepreneurs are building and managing their boards. https://lnkd.in/eaFPhRDC
8mo,"Is your company using GenAI to optimize customer experiences? 

While 98% of CEOs plan to invest in their companyâ€™s GenAI capabilities this coming year, 66% remain uncertain about the path to adoption."
11mo,"Complemented with policy recommendations, EY tools offer governments a data-driven way to optimize assistance for families and other aid programs. Here's how â¡ï¸ https://go.ey.com/4cHM8Th"
8mo,Here's how leaders can meet new challenges with advanced compliance strategies and innovative technologies. https://go.ey.com/3Vc9Dhp
1mo,"63% of C-suite leaders believe they are aligned with consumers on responsible AI concerns. Consumers see it differently.

They are twice as likely to be concerned about security, accountability and compliance, exposing a critical gap in confidence.

To close it, CxOs must embed responsible AI across the development cycle, prioritise consumer concerns and clearly communicate how risks are being addressed.

Explore the latest EY Responsible AI Pulse survey:"
11mo,"Entrepreneurs making a change. Indiaâ€™s gaming industry. And how New Zealand could be the key to powering AI's future sustainably. 

All in this weekâ€™s Must Reads..."
8mo,"What's the deal with LLMs?

Scott explains ğŸ‘‡"
8mo,"Celebrating career achievements âœ…
Building connections âœ…
Developing leadership skills âœ…
Relaxing and recharging âœ…

Weâ€™re in Dallas this week celebrating the career milestones of more than 3,000 of our newest EY promotes. âœ¨"
8mo,"ğŸ‰ğŸ† Winner reactions: what it feels like to be EY Entrepreneur Of The Year 2024 UK

We spoke toofas he stepped off the stage having just been named our overall winner last night.

Cera Care is a digital-first home healthcare company providing fast support to empower people to live longer, better and healthier lives.

Congratulations to Ben and his team on their fantastic achievements! ğŸ‘

And a huge thanks to, our headline sponsor, for supporting the programme all year long."
8mo,"EY Dictionary Challenge ğŸ’«

https://go.ey.com/3AHB5wK 
hashtag
#EYHorizons 
hashtag
#EYPromote"
8mo,"The election outcome can impact the nationâ€™s regulatory and legislative future. 

Here's what we're watching and what you need to know â¬‡ï¸"
11mo,"New AI regulations in Europe. Gen Z shakes up the family business. And growth strategies business leaders can adopt to adapt.

All in this weekâ€™s Must Reads..."
8mo,"We can't wait to celebrate more than 3,000 of our recent 
hashtag
#EYPromotes this week at 
hashtag
#EYHorizons. âœ¨ https://go.ey.com/4fvtHDP"
8mo,"Half of finance leaders are worried their industry could be accused of greenwashing. 

Read how
could help companies report on climate issues with better data:"
8mo,"What ğŸ‘ a ğŸ‘ week ğŸ‘

At the Strategic Growth ForumÂ® entrepreneurs and CEOs...

â€¢ Supercharged company growth
â€¢ Connected with peers who are charting the future of business and the economy
â€¢ Forged alliances, pursued transactions and identified board memberships
â€¢ Uncovered solutions to common business challenges
â€¢ And so much moreâ€¦

Hereâ€™s a peek at
2024."
8mo,"Who will take home the Entrepreneur Of The YearÂ® 2024 National Overall Award?ğŸ’«

We're celebrating the ambitious entrepreneurs who are shaping a better future through their ingenuity, courage and imagination.

Stay tuned to find out who wins."
8mo,"Change is everywhere.

From geopolitical shifts to technology disruption, Kristin Valente shares what leaders need to know now."
8mo,"Connections are powerful opportunities to... 
âœ¨ Break down barriers
âœ¨ Unlock potential
âœ¨ Accelerate success

The
Connections Hub brings entrepreneurs, investors and leaders into one arena to take on what's next for businesses and our communities."
9mo,"Falsehoods are 70% more likely to be retweeted than the truth, according to MIT Media Lab .

Italyâ€™s leading news agency, have developed a blockchain-based tracking system that allows users to trace the origin and history of news published across different platforms with EY â€“ all through the presence of a little green checkmark âœ….

Read the full story:"
9mo,"How could the corporate tax rate change based on the results from the upcoming election?https://go.ey.com/4f8O8Gb

More with. ğŸ‘‡"
9mo,"Is your business ready for tax impacts post-election? ğŸ—³ï¸ 

More from Andrew Phillips. ğŸ‘‡"
2mo,"And the winner of EY World Entrepreneur Of The Yearâ„¢ 2025 is... Stina Ehrensvard.

18 years ago, with no tech experience, this extraordinary entrepreneur moved her family from Sweden to Silicon Valley with the single mission: to make our digital world a safer place. There she founded cybersecurity firm.

Her business plan was simple: â€œWin three tech giants, and win the world!â€

Today she counts these tech giants amongst a third of the Fortune 500 companies who rely on the systems her company has built to stay safe.

Her mission to keep people safe in an increasingly uncertain digital world continues, driven by her motto: â€œIf you can make a difference, you should make a differenceâ€.

Congratulations. We celebrate not just what sheâ€™s built, but how sheâ€™s built it - with integrity, urgency and an unwavering belief that business can, and should, be a force for good.

Truly shaping the future for us all with confidence."
2mo,"Find us at Cannes Lions International Festival of Creativity in just 2 weeks.

What's on the agenda?
ğŸ”® the future of creativity
ğŸ“± how tech can enhance brand loyalty experiences

Follow us for live updates and insights:"
9mo,What could happen with the Tax Cuts and Jobs Act after the elections? Our Washington Council Ernst & Young luminaries analyze the possibilities under three potential scenarios. https://lnkd.in/gdg_HQZT
9mo,Our latest survey reveals the key steps forward-looking CEOs are taking to improve portfolio reviews. https://go.ey.com/3YgQUmO
9mo,Our latest survey reveals that dealmaking is soaring as oil and gas companies continuously evaluate and realign their core assets and portfolios to match their short- and long-term strategies. https://go.ey.com/47XLC32
9mo,âœ¨ Come along for a week in the life as an Assurance Senior at EY. https://go.ey.com/3Y9Snvb
9mo,"AI and GenAI are enabling energy companies to:

ğŸ’¡ Enhance advanced forecasting
ğŸ’¡ Optimize assets
ğŸ’¡ Improve predictive maintenance
ğŸ’¡ Benefit health, safety and customer experience

Learn how EY and Microsoft are exploring how the energy transition is driving convergence across industries."
9mo,Learn how EY Tax can support sustainable supply chains and your clean energy transition. https://go.ey.com/3U1nXJ7
9mo,How can AI provide valuable insights to enhance farming? Bayer Crop Science improved accuracy and saved time with a collaborative GenAI tool. https://go.ey.com/3zQDyEo
2mo,EY has been recognized as one of the top 25 Accounting firms by Vault! This recognition could not have been possible without the dedication and strength of our people. Thank you for your commitment to quality and for making EY a great place to build a career.
10mo,"ğŸ’« Shaping the future
ğŸš€ Supercharging entrepreneurial growth
ğŸ¤ Sparking connections

We're convening the nationâ€™s most influential CEOs, high-growth entrepreneurs and thought leaders across industries to imagine beyond at the Strategic Growth ForumÂ® 2024."
10mo,"Does your tax transformation account for digital disruption and emerging regulatory changes? If not, then now is the time for a reboot. 
https://go.ey.com/3zMsvvX"
10mo,"ğŸš¨ Have the wheels come off the electric vehicle revolution?

The EY Mobility Consumer Index shows that EV demand has slowed, with just a 3% rise since 2023 and concerns around lack of charging infrastructure lie at the root of the problem. Of those saying they won't buy an EV as their next car:

ğŸ”Œ 27% say because of a lack of charging infrastructure
ğŸ”‹ 26% say because of concerns around EV range
âš¡ 23% say because they take too long to charge

Read the report."
11mo,"We asked 1,200 CEOs around the world what their top investment destinations were for the next 12 months?

Hereâ€™s what they said ğŸ‘‡

Find out more:"
2mo,"Recognizing the dedication, commitment and leadership of our outstanding colleagues celebrating their promotions at EY."
11mo,âœ¨ A week in the life of a manager in EY's People Consulting practice.
11mo,"ğŸš¨ Last chance to apply for the 
hashtag
#EYAccessNetwork 2025 cohort.ğŸš¨

The EY Entrepreneurs Access Network gives minority business owners access to coaching, community and capital to help them reach their full potential. Application closes on Aug. 30. Apply today!"
2mo,"Here's how advanced capabilities in business planning, reporting and analytics (BPR&A) can shape your workforce and the framework of your organization. ğŸ‘‰ https://lnkd.in/eMDVdGeg"
2mo,"NEWS: Foreign investment in Europe has declined for the second time since the pandemic, our survey reveals. Investment levels now at nine-year low.

Number of projects down 5%, jobs down 16%. Reasons:

â¡ï¸ Slow economic growth
â¡ï¸ High energy prices
â¡ï¸ Political instability

Read in full ğŸ‘‰

See what countries ranked top for FDI in Europe ğŸ‘‡"
2mo,"[WEBCAST REPLAY] Hear from EY panelists as they discuss how companies can navigate new tax policies, the shifting trade landscape, and legislative and regulatory changes in the second Trump Administration. 

Watch now. ğŸ‘‰"
7mo,Our Metro New York City Office Managing Partner Alysia Steinmann sat down with Medium to share her experience navigating life with children on the autism spectrum. https://go.ey.com/3PnRgD0
2mo,"The House Ways & Means Committeeâ€™s markup of its tax bill is a significant step towards assembling legislation for a full House vote.

Join our EY webcast this Wednesday to learn whatâ€™s in the legislation, what happens next and what actions businesses can take now."
8mo,Businesses need to prepare for potentially fast moving changes to tax policy - Martin Fiore explains. https://go.ey.com/3ZjBlvg
8mo,"We understand the trust that is placed in us as independent auditors, and we embrace our responsibility to perform audits that promote confidence in financial reporting and the capital markets. Our EY US 2024 audit quality report describes the progress weâ€™re making to enhance audit quality and shape the future of the profession with our $1 billion investment in talent and technology."
3mo,"Celebrating Asian and Pacific Islander Heritage Month. 
hashtag
#AAPI"
3mo,"Join our EY panelists as they discuss how leading companies can navigate new tax policies, the shifting trade landscape, and legislative and regulatory changes in the second Trump Administration. Gain insights to help your business stay ahead."
3mo,"What if your next big career move didn't mean leaving your company?

Workforce mobility empowers employees to switch roles, explore new departments, or even relocate internationally -- all within the same organization. It's no longer a nice-to-have, it's essential for companies looking to attract and retain top talent.

Let us know in the comments: Would more mobility keep you at your company? ğŸ¤”

Read the 2025 Mobility Reimagined report to learn more:"
3mo,"Gold producers can enhance resilience by integrating responsible sourcing practices, leveraging digital innovation, and implementing cost-effective operational strategies. As the sector evolves, what key steps will shape the future of gold production and ensure long-term success?

Find out:"
9mo,How can AI transform oil and gas operations? Swapnil Bhadauria shares the latest insights. ğŸ‘‰ https://lnkd.in/euCUQxWd
9mo,Here's how GenAI is helping utility companies streamline complex processes essential to advancing energy transitions.
9mo,Entrepreneurs should consider tax matters as part of their early business strategies. Here are five key actions to take. https://go.ey.com/4eXvaCu
4mo,"EY Consulting and Microsoftâ€™s Launch AI simplifies financial product launches with GenAI. Learn more: https://ow.ly/wwZG50Vi5sg

Produced forby Reuters Plus"
3mo,"[NEWS] EY announces Martin Fiore as Americas Vice Chair â€“ Tax.

https://go.ey.com/4iv73Ms"
11mo,Entrepreneurs have much to offer corporate boards. How can founders differentiate themselves and prepare for board placement? https://go.ey.com/3Za8biA
11mo,"[NEWS] Mega deals in oil and gas industry drove 57% spike in M&A activity last year as energy companies boosted development spending, according to a recent EY report. https://go.ey.com/4e4aibW"
11mo,"The right board â€“ diverse in skills, experience and background â€“ is crucial to success. 

Find out how founder CEOs can intentionally shape their boards to better drive the companyâ€™s ambitions."
11mo,The U.S. venture capital industry has continued to grow through several boom-and-bust tech cycles - will the same apply in AI investment dips? https://go.ey.com/3XmsGHB
11mo,"Entrepreneurs are uniquely positioned to make an impact. 

Sherry Deutschmann, Ralph Clark, and Michelle Tunno Buelow share how they are transforming their success into positive social influence."
3mo,"The silver sub-sector is undergoing a transformation, with demand surging across clean energy, industrial applications, and investment markets. 

Discover the key trends shaping the sector and the strategies that will define its future:"
3mo,"We are so proud to be named among the 2025 
hashtag
#LinkedInTopCompanies. We're committed to helping our people thrive personally and professionally through:

ğŸ’¡ Learning and development opportunities
ğŸ§˜â€â™‚ï¸ Wellbeing benefits
ğŸ’» Workplace flexibility
ğŸ¤ Career coaching

Learn more:"
4mo,"How will President Trumpâ€™s reciprocal tariffs impact US businesses, trade and international relations? Join us tomorrow as our tax professionals discuss what businesses need to know. 

ğŸ“† Register here:"
11mo,"Here's what you need to know from our mid-2024 global economic outlook ğŸ‘‡

ğŸ“ˆ Global GDP growth just above 3% is expected in 2024 and 2025.

ğŸ’° The global disinflation process will continue into 2025, allowing central banks to ease monetary policy gradually.

ğŸš€ To thrive, leaders can adopt a strategy of flexibility, innovation and portfolio optimization."
11mo,"As Gen Z homebuyers enter the housing market, how will the real estate industry respond? Here's what you need to know. ğŸ‘‡

ğŸ“ˆ Gen Z currently make up just 4% of homebuyers, yet, over half are already saving for their first home.

ğŸŒ± Innovation is paramount as young homebuyers prioritize sustainable design, digital platforms and simplified financing.

ğŸ’» As digital natives, Gen Z will demand transparency, authenticity, and ease in their interactions."
11mo,Here's how GenAI can transform the ways published content is created and delivered: https://go.ey.com/3WLIqlN
4mo,"As the market grows, digital assets are set to become a core asset class, drawing interest from institutional investors and changing the financial ecosystem.

Read the latest report byand:"
6mo,"Cybersecurity is entering a new era. ğŸ” 

Jim Guinn, II, EY Americas Cybersecurity Leader, shares how companies must stay vigilant and navigate the evolving regulatory landscape as we approach 2025.

Learn more:"
6mo,"AI is evolving fast. Are you ready for what's next? ğŸš€ 

Dan Diasio, EY's Global AI Consulting Leader, shares how 2025 will be the year of intelligent agents working together to achieve your goals.

Learn more:"
6mo,"We are shaping the future to build a better world for our clients, people and communities. Learn more. ğŸ‘‰ https://lnkd.in/e5jb_myC"
4mo,"We've expanded our strategic alliance with NVIDIA, building our EY.ai Agentic Platform on NVIDIAâ€™s industry-leading technology stack.

The platform accelerates our capabilities to deliver next generation AI at enterprise scale to help businesses shape the future with confidence.

Learn more:"
7mo,"Turn welcome into welcome back â€“ How retail executives can use data to drive loyalty. Find out. bit.ly/3BAWg3S

Produced byfor"
7mo,"The future of AI is responsible: Explore key findings from the EY AI Pulse survey and their implications for 2025. 

Produced byfor"
4mo,How mining companies can optimize capital project execution in an era of rising complexity. https://go.ey.com/4hbqHwo
4mo,"You donâ€™t have to swipe right to move forward. Organizations that already use Splunk can make simple changes to accelerate efficiencies, increase cybersecurity and drive real progress. https://go.ey.com/3DpZYhP"
9mo,"We could tell you all about the change in the way we show up in this complex and challenging world.

Or we could let our Global Chair and CEO tell you how our full spectrum of services will help businesses shape the future with confidence.

â¬‡ï¸"
5mo,"This webcast will offer a timely discussion of how executives can stay ahead in a second Trump administration. 

Join our panel for insights on early executive actions, the outlook for tax legislation, and perspectives on how regulatory shifts could impact the business environment."
5mo,"This webcast will offer a timely discussion of how executives can stay ahead in a second Trump administration. 

Join our panel for insights on early executive actions, the outlook for tax legislation, and perspectives on how regulatory shifts could impact the business environment."
9mo,"â€œWe should have a large language model behind almost every digital transaction in the next two, three, four years.â€

, Partner, Marketing and Data/AI, Consulting at EY, spoke about generative AI at the
Summit in Aspen, Colorado. Presented by"
5mo,[NEWS] EY WeVerse wins the WorkLife Award for Best Use of Gamification in the Workplace. https://go.ey.com/42Njq2m
6mo,"By embracing AI, the hotel industry stands at the threshold of a revolution in guest experience and operational efficiency. https://go.ey.com/3DJrbvK"
6mo,"We cultivate an environment where everyone has an equitable opportunity to thrive. ğŸ³ï¸â€ğŸŒˆ

Weâ€™re proud to once again receive an
score on the Corporate Equality Index byFoundation."
7mo,"With game changing opportunities and segment-ending challenges, 2025 will bring a thrill-seeking ride of growth, innovation, consumer engagement and profitability in the media and entertainment industry. 
hashtag
#CES2025"
7mo,"How did you spend your 
hashtag
#EYWinterBreak? Tell us how many spaces you filled ğŸ‘‡"
7mo,"PE-backed companies often overlook FP&A as a value creation lever. 

Listen to the latest PE Portco Speed Round to find out how the finance function can be optimized to accelerate growth."
7mo,The 2024 Real Estate Compensation Survey report provides market competitive compensation data from nearly 300 organizations. Find out more: https://go.ey.com/3ZWbqdu
7mo,"The metals and mining sector is central to the energy transition, but achieving meaningful transformation requires innovation and cross-industry collaboration.

Here's how businesses are navigating the path forward."
8mo,"ğŸ What are the trends shaping this year's shopping season? 

ğŸ’° Despite low consumer confidence, shoppers are still planning to spend more than last year.

More insights:"
8mo,"Social media shopping is on the rise, with China leading the charge but consumers are still opting for in-store purchases this holiday season.

Read how consumers are shopping in the EY Holiday Shopping Survey:

How do you plan to shop this
? ğŸ‘‡"
8mo,Wishing you all a happy Thanksgiving! ğŸ‚ ğŸ’›
8mo,"Four in ten consumers want to reduce their screen time. 

Half of households are concerned about misinformation, and in some markets, they are actively seeking a digital detox.

Here are five strategic steps service providers can take to shape a healthier, more confident digital future. ğŸ‘‡"
8mo,"ğŸ‘ Congratulations to the EY Entrepreneur Of The Year 2024 UK overall winner: Dr. Ben Maruthappu of CerağŸ† 

Cera Care is a digital-first home healthcare company providing fast support to empower people to live longer, better and healthier lives.

Congratulations toand the whole team ğŸ‘

A big thanks to, our headline sponsor who have supported us throughout this yearâ€™s programme."
8mo,[ANNOUNCING] Christopher Barnett of ABA Centers of America named Entrepreneur Of The YearÂ® 2024 National Overall Award Winner ğŸ†
8mo,"The world is not on track to meet the Paris climate goals due to inaction by businesses. 

Our survey of 1,400 companies across 51 countries shows that most are ticking the boxes on climate disclosure, but only around half are providing enough detail on the risks they face; and very few are putting enough money behind their action plans.

Read the full report:"
8mo,"[NEWS] Jubilant, an award-winning HR technology consultancy focused on implementing and supporting human capital management, payroll and workforce management systems, has joined EY US. https://go.ey.com/4epsLPN"
8mo,"Today and every day we honor the extraordinary bravery and sacrifice of all those who have served and continue to serve our country. 
hashtag
#VeteransDay"
8mo,The metals & mining industry is a growing target for cybercriminals. Is your company prepared to stop a breech? https://go.ey.com/48FlNoy
8mo,"Will we see a post-US election boom in public listings in 2025? 
 
Historically, IPO activity in the US jumps by an average of 39% in post-election years compared to election years. ğŸ“ˆâœ¨"
9mo,"How will the election results impact your business? Tune in today as we explore the short and long-term implications on tax, trade and the macroeconomic environment. https://go.ey.com/40Bwk2m"
9mo,"3 in 5 professionals working to achieve the UN Sustainable Development Goals believe AI can accelerate progress. 

However, less than half feel confident that they have the skills and knowledge needed to use AI in their work.

Read the full report withto learn how:"
9mo,[WEBCAST] EY presents an exclusive webcast that will serve as a guide for business executives to navigate the post-election landscape. https://go.ey.com/3NQQwp4
10mo,"ğŸ§ At the current pace, it will take 333 years for minority-owned businesses to achieve revenue parity. Through the EY Entrepreneurs Access Network, we're working to provide support, collaboration and funding to Black and Latino business owners to help reduce that timeline.


ğŸ”Š Listen on all podcast platforms."
10mo,Exits are inevitable. Learn what portfolio company leaders should prioritize in order to maximize investor returns at exit in the latest PE Portco Speed Round. https://go.ey.com/3XJi6KG
10mo,"Workers are more engaged when they feel they belong at their company or on their team. 

Here are four key actions leaders can take to create higher-belonging teams."
10mo,"We're proud to celebrate the rich culture of the Hispanic and Latinx communities. 
hashtag
#HispanicHeritageMonth"
10mo,"Where are CEOs investing right now? ğŸŒ

Nearly 7/10 CEOs say they are feeling optimistic about the global outlook for the coming year, according to our latest report.

Here's where they are setting their sights ğŸ‘‡

Find the full report here:"
11mo,"Congratulations to the EY recipients of the Assurance American Institute of CPAs (AICPA) 2024 Elijah Watt Sells Award â€“ Tyler Thimjon, Eleanna Lee (Weissman), Brandon Rooney, CPA, Eleanor DeNunzio, and Reece Diloreto!"
11mo,"Happy 
hashtag
#InternationalDogDay! Drop a photo of your four-legged friends in the comments below. ğŸ¶ğŸ“¸ğŸ‘‡"
11mo,Weâ€™re proud to once again be named one of the 2024 PEOPLE Magazine | PEOPLE.com Companies that Care. Thank you to all our people for fostering a culture of care at EY and within our communities.
11mo,"We're committed to fostering an inclusive and equitable workplace, where all our people can belong and thrive. We are proud to once again be named to Seramount's Inclusion Index for 2024. https://go.ey.com/4g5XUdp"
11mo,Stay up to date on today's complex and rapidly changing corporate tax environment. https://go.ey.com/3WLLChl
